Token                Lexema              
----------------------------------------
KW_SI                si                  
IDENTIFICADOR        contador            
ERROR_LEXICO         es_mayor            
ERROR_LEXICO         Que                 
IDENTIFICADOR        diez                
KW_INICIO            inicio              
KW_MIENTRAS          mientras            
KW_REPITE            repite              
KW_IMPRIMIR          imprimir            
IDENTIFICADOR        saludo              
KW_HASTA             hasta               
IDENTIFICADOR        contador            
KW_FIN               fin                 
KW_SINO              sino                
IDENTIFICADOR        x1                  
IDENTIFICADOR        y2z                 
KW_INICIO            inicio              
KW_MIENTRAS          mientras            
IDENTIFICADOR        loop3               
ERROR_LEXICO         123invalido         
ERROR_LEXICO         Variable            
KW_FIN               fin                 
KW_REPITE            repite              
IDENTIFICADOR        test99              
KW_HASTA             hasta               
IDENTIFICADOR        numero              
KW_IMPRIMIR          imprimir            
